SENSORID,LAT,LONG,SHORT_NAME,NAME,STATIONID,STATE,SENSOR_TYPE,P_REPORT_TIMESTEP,DATA_OWNER,REGULATIONS_DATA_OWNER_CODE
"001006-2","-15.51","128.1503","Wyndham Aero","Wyndham Aero","1006","WA","rain gauge","1h","BOM","w09998"
"001010-0","-14.7885","126.4963","Theda","Theda","1010","WA","rain gauge","24h","BOM","w09998"
